User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000005,P00274942,M,26-35,20,A,1,1,8,,,7871
1000008,P00249542,M,26-35,12,C,4+,1,1,5,15,19614
1000010,P00085942,F,36-45,1,B,4+,1,2,4,8,16352
1000010,P00221342,F,36-45,1,B,4+,1,1,2,5,15705
1000011,P00189642,F,26-35,1,C,1,0,8,13,,8027
1000015,P00275142,M,26-35,7,A,1,0,5,8,,5380
1000017,P00073842,M,51-55,1,C,0,0,1,15,17,15172
1000018,P00190042,F,18-25,3,B,3,0,3,4,5,13551
1000019,P00251342,M,0-17,10,A,3,0,5,11,,8773
1000022,P00213242,M,18-25,15,A,4+,0,5,8,,8797
1000022,P00077042,M,18-25,15,A,4+,0,5,,,7177
1000023,P00345842,M,36-45,0,B,3,1,2,8,14,16137
1000025,P00120042,M,18-25,4,C,4+,0,1,2,,18974
1000026,P00144242,M,26-35,7,B,2,1,5,14,,5220
1000028,P00118742,F,26-35,1,C,2,1,5,11,,8690
1000031,P00117442,M,55+,7,C,2,0,5,14,,8596
1000033,P00001642,M,46-50,3,A,1,1,8,16,,6129
1000034,P00192942,F,18-25,0,A,0,0,5,,,6996
1000035,P00102542,M,46-50,1,C,4+,1,8,,,6109
1000036,P00357842,M,26-35,3,B,0,0,5,,,6967
1000036,P00120842,M,26-35,3,B,0,0,8,17,,9894
1000037,P00085242,F,26-35,9,C,1,0,8,14,17,8034
1000042,P00147742,M,26-35,8,C,0,1,1,16,,11925
1000044,P00303742,M,46-50,17,B,3,1,8,,,7772
1000045,P00273442,F,46-50,16,A,1,1,12,14,17,1414
1000046,P00079542,M,18-25,19,C,4+,0,5,8,,1784
1000048,P00223242,M,26-35,4,B,3,1,5,14,,7048
1000048,P00015342,M,26-35,4,B,3,1,2,4,,6407
1000048,P00050542,M,26-35,4,B,3,1,5,,,3696
1000051,P00361842,F,0-17,10,C,2,0,15,16,,17271
1000053,P00209742,M,26-35,0,B,1,0,1,11,15,19662
1000053,P00246742,M,26-35,0,B,1,0,11,15,,1629
1000053,P00302942,M,26-35,0,B,1,0,8,,,7796
1000057,P00171542,M,18-25,19,C,2,0,2,5,14,3581
1000058,P00003942,M,26-35,2,B,3,0,5,14,,6987
1000059,P00148642,F,51-55,1,B,4+,1,6,10,13,12014
1000059,P00010742,F,51-55,1,B,4+,1,1,8,17,7988
1000062,P00320442,F,36-45,3,A,1,0,6,10,,15957
1000063,P00021742,M,18-25,4,C,2,0,5,,,8587
1000066,P00265242,M,26-35,18,C,2,0,5,8,,8652
1000070,P00284042,M,18-25,4,A,2,0,8,17,,2304
1000073,P00199042,M,18-25,4,A,4+,0,1,5,,15624
1000075,P00003442,F,0-17,10,C,4+,0,4,5,8,2129
1000077,P00250842,M,18-25,4,C,2,0,8,,,6144
1000079,P00195842,F,46-50,0,A,1,0,3,4,8,7962
1000083,P00183442,F,26-35,2,C,1,0,1,2,,7996
1000087,P00173342,M,26-35,14,C,2,0,1,6,14,4121
1000090,P00234842,M,55+,13,C,1,0,5,6,16,8714
1000090,P00161542,M,55+,13,C,1,0,2,15,16,10009
1000092,P00340642,F,18-25,4,B,1,0,5,,,1868
1000092,P00274342,F,18-25,4,B,1,0,2,8,14,6434
1000093,P00014042,M,26-35,17,B,1,1,1,,,7836
1000096,P00117942,F,26-35,16,C,2,1,5,15,,7193
1000099,P00317842,F,0-17,10,C,1,0,8,,,5935
1000101,P00014042,F,18-25,3,A,1,0,1,,,19394
1000103,P00050442,M,46-50,7,B,2,1,1,8,13,15233
1000107,P00323742,M,46-50,18,C,4+,0,8,,,9753
1000110,P00035842,M,26-35,2,B,4+,0,5,6,9,6923
1000117,P00351342,M,26-35,17,A,2,1,1,2,16,8337
1000117,P00143642,M,26-35,17,A,2,1,1,2,6,11893
1000118,P00144642,M,36-45,17,C,4+,0,1,15,16,15756
1000119,P0094942,F,0-17,10,C,1,0,4,8,,2122
1000123,P00217742,M,36-45,9,B,4+,1,5,14,,3631
1000123,P00346542,M,36-45,9,B,4+,1,10,13,16,14650
1000125,P00266642,M,46-50,14,B,3,1,1,8,9,15253
1000128,P00245642,M,55+,6,A,1,1,5,11,12,8629
1000130,P00127642,M,36-45,17,B,3,1,1,2,15,19062
1000131,P00209842,M,18-25,4,C,4+,0,5,8,,8734
1000132,P00045842,M,26-35,17,C,1,0,5,14,,3743
1000134,P00346442,M,26-35,0,C,3,1,1,2,14,3877
1000136,P00008842,M,18-25,2,B,3,0,1,16,,15563
1000137,P00010742,F,46-50,6,C,4+,1,1,8,17,15334
1000139,P00329542,F,26-35,20,C,2,0,1,15,16,7773
1000139,P00227542,F,26-35,20,C,2,0,13,,,928
1000142,P00025442,M,26-35,7,A,2,0,1,2,9,15212
1000146,P00081142,F,36-45,20,B,3,1,6,8,14,16004
1000146,P00127542,F,36-45,20,B,3,1,1,2,15,3836
1000146,P00091842,F,36-45,20,B,3,1,8,,,7805
1000148,P00118442,M,51-55,17,B,3,1,1,2,,15671
1000148,P00193042,M,51-55,17,B,3,1,5,6,16,7114
1000149,P00289342,M,26-35,1,B,2,1,5,8,14,5267
1000149,P00345842,M,26-35,1,B,2,1,2,8,14,16235
1000149,P00350342,M,26-35,1,B,2,1,1,6,,15165
1000150,P00113342,M,36-45,7,B,0,1,1,8,17,15590
1000151,P00048642,F,26-35,20,A,1,1,5,14,,5471
1000151,P00211042,F,26-35,20,A,1,1,5,,,5205
1000154,P00105142,M,51-55,20,A,4+,1,1,2,15,8144
1000156,P00304842,F,46-50,7,C,4+,1,8,,,9872
1000157,P00177942,M,36-45,16,A,1,0,5,8,,3522
1000161,P00111542,M,46-50,16,C,4+,1,2,17,,16122
1000161,P00285742,M,46-50,16,C,4+,1,8,,,8065
1000163,P00028242,M,18-25,4,A,1,0,6,8,,4597
1000163,P00194642,M,18-25,4,A,1,0,1,6,13,8081
1000165,P00110942,M,18-25,16,A,1,0,1,2,,11516
1000166,P00270242,M,18-25,4,B,1,1,8,,,7786
1000166,P00226442,M,18-25,4,B,1,1,11,15,,3172
1000169,P00176042,M,26-35,7,B,3,0,8,17,,6146
1000169,P00100642,M,26-35,7,B,3,0,5,15,,5429
1000169,P00193542,M,26-35,7,B,3,0,1,2,,19252
1000173,P00084642,M,26-35,0,B,1,1,13,16,,759
1000173,P00310242,M,26-35,0,B,1,1,7,,,12739
1000173,P00213742,M,26-35,0,B,1,1,8,,,10064
1000174,P00113342,M,26-35,16,C,2,0,1,8,17,19396
1000175,P00085542,F,26-35,2,B,1,0,5,14,,6919
1000177,P00084442,M,51-55,1,B,3,1,13,16,,776
1000181,P00274942,M,18-25,17,C,1,0,8,,,9820
1000181,P00288342,M,18-25,17,C,1,0,8,,,9979
1000183,P00039942,F,46-50,1,B,1,1,8,,,9941
1000185,P00182742,M,46-50,0,C,0,0,1,2,14,15327
1000187,P00092642,F,46-50,1,B,1,0,5,8,,5232
1000187,P00250842,F,46-50,1,B,1,0,8,,,8000
1000188,P00284042,M,55+,16,C,2,0,8,17,,8022
1000192,P00023142,M,18-25,1,B,2,0,5,14,,3713
1000192,P00277542,M,18-25,1,B,2,0,1,6,15,4135
1000193,P00107642,F,46-50,15,C,1,1,5,,,5362
1000195,P00050342,M,26-35,12,B,4+,1,5,8,17,6916
1000195,P00089242,M,26-35,12,B,4+,1,2,5,,12890
1000195,P00183142,M,26-35,12,B,4+,1,15,,,21224
1000196,P00370242,F,36-45,9,C,4+,0,5,,,5411
1000198,P00282642,M,26-35,12,A,0,1,5,,,5347
1000198,P00184442,M,26-35,12,A,0,1,1,6,8,7839
1000199,P00144642,M,18-25,4,B,1,0,1,15,16,11988
1000201,P00051442,F,36-45,2,A,1,0,8,17,,9891
1000202,P00179642,M,18-25,4,A,3,0,11,,,4421
1000202,P00145442,M,18-25,4,A,3,0,8,15,,9979
1000202,P00053542,M,18-25,4,A,3,0,1,,,7623
1000203,P00223942,F,18-25,4,B,1,1,5,8,,6887
1000204,P00242742,M,26-35,7,B,1,1,1,2,9,19647
1000205,P00357242,M,36-45,12,A,1,0,5,,,8811
1000208,P00213242,M,36-45,17,C,1,1,5,8,,8851
1000211,P00142142,M,46-50,17,C,1,1,1,2,15,15486
1000214,P00247042,M,18-25,20,C,1,0,5,14,,3503
1000216,P00205242,M,46-50,13,B,1,0,5,,,8678
1000216,P00214742,M,46-50,13,B,1,0,5,14,,5415
1000216,P00277642,M,46-50,13,B,1,0,2,3,10,3406
1000216,P00289242,M,46-50,13,B,1,0,1,8,,15490
1000221,P00326742,F,26-35,0,B,2,1,11,,,5957
1000223,P00057742,M,26-35,17,B,4+,0,2,8,18,6472
1000225,P00255742,M,26-35,7,A,0,0,3,4,,8182
1000225,P00323442,M,26-35,7,A,0,0,5,9,,3701
1000229,P00335542,M,18-25,10,C,1,0,8,,,5914
1000230,P00216342,M,46-50,1,C,1,0,3,4,5,11015
1000231,P00327342,M,26-35,3,A,1,0,16,,,20878
1000235,P00173342,M,26-35,0,B,0,0,1,6,14,19648
1000235,P00331342,M,26-35,0,B,0,0,8,16,,8073
1000237,P00102342,M,26-35,6,C,1,1,8,14,17,2105
1000238,P00355942,F,51-55,7,B,0,0,8,13,,9933
1000238,P00155642,F,51-55,7,B,0,0,8,,,9871
1000240,P00192042,M,51-55,17,A,1,1,5,9,14,3753
1000242,P00370342,F,18-25,4,A,3,0,8,,,9915
1000245,P00233342,M,36-45,16,B,0,0,1,15,16,11638
1000245,P00029242,M,36-45,16,B,0,0,8,,,6168
1000245,P00282442,M,36-45,16,B,0,0,5,8,18,5365
1000245,P00346542,M,36-45,16,B,0,0,10,13,16,9314
1000245,P00313942,M,36-45,16,B,0,0,17,,,5511
1000251,P00117542,M,55+,17,A,0,1,18,,,3150
1000255,P00260042,M,36-45,0,C,1,1,5,8,,7165
1000255,P00057642,M,36-45,0,C,1,1,1,15,16,15866
1000258,P00268342,M,26-35,7,C,0,1,5,,,5227
1000260,P00167942,M,18-25,19,C,1,0,1,5,,8335
1000260,P00042542,M,18-25,19,C,1,0,1,5,,7764
1000261,P00050242,M,26-35,20,A,4+,0,8,,,10060
1000262,P00333642,F,26-35,1,C,1,0,11,15,,3164
1000263,P00245642,F,26-35,7,C,1,0,5,11,12,5279
1000264,P00049542,M,36-45,0,B,1,1,8,,,6032
1000267,P00156442,M,46-50,12,C,1,1,8,,,8020
1000268,P00139942,F,18-25,12,C,1,0,5,,,3706
1000269,P00047942,M,26-35,2,A,1,1,5,13,,6977
1000271,P00172842,M,18-25,4,C,1,0,3,4,,8184
1000272,P00229942,M,18-25,0,A,1,0,5,,,5405
1000272,P00350342,M,18-25,0,A,1,0,1,6,,7708
1000272,P00145642,M,18-25,0,A,1,0,1,8,17,15513
1000276,P00014942,M,46-50,16,C,4+,0,8,,,6109
1000280,P00308342,M,51-55,7,C,0,1,5,8,,5159
1000284,P00256042,M,26-35,12,B,3,1,6,8,16,11997
1000284,P00174142,M,26-35,12,B,3,1,3,4,9,8035
1000284,P00113342,M,26-35,12,B,3,1,1,8,17,15412
1000287,P00277642,M,51-55,13,B,1,1,2,3,10,9523
1000291,P00130842,M,36-45,12,B,2,0,5,14,,5470
1000293,P00079942,M,55+,1,C,1,1,8,,,7889
1000295,P00350442,M,18-25,0,C,4+,0,2,3,15,12705
1000296,P00265142,M,51-55,5,C,4+,1,3,12,,13290
1000300,P00282642,M,26-35,7,B,4+,1,5,,,8663
1000300,P00205442,M,26-35,7,B,4+,1,5,8,14,5185
1000301,P00073642,M,18-25,4,B,4+,0,8,,,8092
1000302,P00251942,M,18-25,4,B,4+,0,1,2,5,11533
1000302,P00154242,M,18-25,4,B,4+,0,8,,,3906
1000302,P00171542,M,18-25,4,B,4+,0,2,5,14,6364
1000302,P00111142,M,18-25,4,B,4+,0,1,15,16,15675
1000303,P00223242,M,26-35,7,C,1,1,5,14,,5182
1000306,P00365342,M,18-25,0,C,3,0,1,5,,15305
1000307,P00119142,M,51-55,16,B,0,1,3,4,12,8036
1000308,P00274142,M,26-35,2,A,3,1,1,,,11899
1000308,P00118042,M,26-35,2,A,3,1,8,,,7949
1000310,P00130742,F,18-25,4,C,1,0,1,14,17,11866
1000313,P00203742,F,18-25,4,A,4+,0,13,16,,757
1000314,P00258742,F,55+,9,C,1,0,5,,,6883
1000316,P00215442,M,55+,13,C,1,0,15,16,,17358
1000319,P00216742,F,51-55,6,B,3,1,5,,,6913
1000319,P00067942,F,51-55,6,B,3,1,5,14,,5245
1000321,P00113342,M,18-25,4,B,3,0,1,8,17,15460
1000323,P00034742,M,46-50,12,C,1,0,5,14,17,8780
1000326,P00051942,M,51-55,11,B,1,1,5,6,11,3661
1000326,P00089342,M,51-55,11,B,1,1,8,,,7924
1000326,P00122542,M,51-55,11,B,1,1,11,,,5895
1000327,P00173342,M,36-45,18,C,4+,0,1,6,14,11596
1000327,P00188442,M,36-45,18,C,4+,0,5,7,,8878
1000329,P00033342,M,36-45,7,A,1,0,5,14,,7046
1000329,P00072842,M,36-45,7,A,1,0,5,8,,1940
1000331,P00267742,M,26-35,7,B,1,0,5,,,6874
1000331,P00113142,M,26-35,7,B,1,0,1,5,12,15849
1000331,P00271042,M,26-35,7,B,1,0,6,16,,20566
1000333,P00109842,M,36-45,2,A,0,1,8,,,2316
1000334,P00025942,F,55+,2,A,3,1,8,14,,7932
1000335,P00111542,M,36-45,18,C,0,1,2,17,,9718
1000338,P00249742,M,36-45,7,A,1,0,1,15,18,11813
1000338,P00013742,M,36-45,7,A,1,0,5,,,7153
1000339,P00101142,M,51-55,7,C,1,1,8,,,8080
1000342,P00221442,M,18-25,12,C,4+,0,1,2,5,15902
1000343,P00041942,F,36-45,3,B,2,0,5,18,,5305
1000345,P00265242,M,26-35,12,A,2,1,5,8,,8593
1000346,P00177942,F,26-35,0,B,2,0,5,8,,8882
1000347,P00126042,F,55+,1,A,1,0,8,14,,7866
1000349,P00338442,M,0-17,10,C,0,0,1,16,,12051
1000349,P00351842,M,0-17,10,C,0,0,5,,,6971
1000351,P00184942,M,18-25,4,A,4+,0,1,8,17,19578
1000352,P00118742,M,18-25,4,A,0,0,5,11,,7173
1000352,P0098742,M,18-25,4,A,0,0,8,,,8125
1000352,P00043842,M,18-25,4,A,0,0,8,13,14,6204
1000353,P00110942,F,36-45,7,C,1,1,1,2,,15482
1000355,P00074342,M,18-25,3,B,2,0,5,,,7025
1000355,P00296242,M,18-25,3,B,2,0,8,,,7972
1000362,P00147942,M,36-45,20,B,1,0,1,16,,11488
1000366,P00193642,M,51-55,15,B,1,1,2,3,4,10051
1000368,P00231242,M,26-35,0,C,1,0,16,,,16910
1000371,P00034742,M,18-25,4,B,4+,0,5,14,17,2025
1000372,P00222042,F,18-25,4,C,2,0,1,8,,11568
1000376,P00255942,M,36-45,1,C,4+,1,1,16,,19481
1000377,P00035842,M,26-35,17,B,2,0,5,6,9,5264
1000380,P00289342,M,26-35,2,C,1,0,5,8,14,7045
1000385,P00070542,M,26-35,6,C,1,0,3,15,,10724
1000387,P00182742,F,36-45,7,C,0,0,1,2,14,11834
1000390,P00182442,M,26-35,4,A,0,0,5,11,,6917
1000391,P00355642,M,46-50,11,C,2,1,16,,,8523
1000392,P00031042,M,18-25,7,A,0,0,8,,,9749
1000396,P00168142,M,26-35,1,C,1,0,8,,,9905
1000398,P00129642,M,26-35,17,B,3,1,5,,,8895
1000399,P00300042,F,36-45,6,B,1,1,16,,,16341
1000402,P00288942,M,26-35,11,B,1,1,1,2,5,15905
1000403,P00147742,M,18-25,4,A,2,0,1,16,,15649
1000403,P00109542,M,18-25,4,A,2,0,8,14,17,9907
1000406,P00284042,M,26-35,20,A,3,0,8,17,,7965
1000408,P00117442,M,26-35,11,A,0,0,5,14,,6970
1000409,P00213742,M,18-25,12,B,4+,0,8,,,8065
1000411,P00102342,F,46-50,1,B,0,1,8,14,17,9951
1000411,P00187442,F,46-50,1,B,0,1,2,4,5,13067
1000412,P00052842,M,36-45,15,A,1,1,10,15,,18617
1000412,P00317842,M,36-45,15,A,1,1,8,,,7879
1000413,P00260042,M,26-35,11,C,0,0,5,8,,8578
1000415,P00209642,F,36-45,0,A,2,1,15,16,17,17034
1000419,P00350942,M,18-25,3,C,1,0,3,4,5,13338
1000424,P00246142,M,26-35,17,A,3,0,1,15,17,15802
1000424,P00316842,M,26-35,17,A,3,0,4,5,,2769
1000424,P00282642,M,26-35,17,A,3,0,5,,,7088
1000424,P00124942,M,26-35,17,A,3,0,11,,,4671
